"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A_1_1","A_1_2","A_1_3","A_2_1","A_2_2","A_2_3","A_3_1","A_3_2","A_3_3","A_4_1","A_4_2","A_4_3","A_5_1","A_5_2","A_5_3","A_6_1","A_6_2","A_6_3","A_7_1","A_7_2","A_7_3","A_8_1","A_8_2","A_8_3"
"lcl|NZ_CP046058.1_cds_D3800_RS07745_1566",1712.70061651464,-1.70728889800209,0.135230230770465,-12.625053497838,1.53637003778342e-36,2.45819206045347e-32,1062.7770176648,532.193666656711,802.937416872131,773.323922441488,821.482883307735,797.531771635283,825.196916631967,781.538733230161,835.866433260796,745.108971343531,848.831351301479,812.024148214402,4339.33011738221,1970.84083122873,3098.7247192901,2245.66667895271,2269.1867786644,2657.96562144684,1905.45367852884,2422.95299851366,2081.31454860286,2291.59804469184,3436.55040446923,2746.4171420195
"lcl|NZ_CP011304.1_cds_WP_046662490.1_2618",299.44939965499,-3.61284523113615,0.343032088612513,-10.532091168932,6.14538595938866e-26,3.27753917834062e-22,91.4108777008478,62.559189292428,52.4325329839676,34.6264442884248,47.9545845585733,5.99647948597957,34.6813914261601,48.588814816206,20.3044477715173,37.6943554456533,54.1976825244137,50.6274224436852,463.023492972069,796.090460352063,1034.20180048943,178.19865144726,429.697070853472,726.423680703761,181.693627047982,166.611252275262,239.450944316127,549.815648085404,1086.43909125304,794.065649186045
"lcl|NZ_CP046973.1_cds_WP_158200086.1_2300",866.447505802017,-1.87657438952709,0.178035399962078,-10.5404565043065,5.62253049663019e-26,3.27753917834062e-22,555.496872182075,236.138911695362,303.286220201381,320.29460966793,371.821778823721,340.60003480364,327.546474580401,331.062772137539,277.49411954407,508.615617999569,422.423113793224,456.639496550886,2420.97449379462,1181.21214409381,1624.06549157534,1047.3716656492,1199.7721585066,858.670043088292,836.256565515713,1333.77624826739,1078.39682530778,1502.54963369904,1859.17554114916,1401.09930662166
"lcl|NZ_CP142375.1_cds_WP_341853539.1_2544",618.201776207857,2.36315854176438,0.238687944520154,9.90061959985099,4.13703944042599e-23,1.6548157761704e-19,799.594051097525,627.794681279647,641.527462392074,1590.50800764831,1797.25442997784,1205.29237668189,788.313532099384,1081.71878408621,824.022172060744,961.980605414413,1127.79001135361,976.811444795809,460.599286202581,91.7571796834359,100.897736633115,190.927126550635,318.651760408193,208.613980099542,221.293520122542,156.862721557029,170.044873499859,180.473838684522,120.518528882882,193.594517776763
"lcl|NZ_CP011304.1_cds_WP_046663285.1_3717",1527.82435371363,-1.74598580553749,0.179486762133767,-9.72765782156259,2.29823644980795e-22,7.35435663938545e-19,945.24874633514,533.515339669931,615.82524034111,810.835903753948,894.457251114259,771.147261896973,510.862400690104,520.476795997325,489.844802487855,1058.54011867931,617.694175829715,652.200324421592,4387.0061838488,2081.98333056359,2229.45191137403,2131.11040302233,2088.13464206884,1767.63095637915,1347.56106727253,1986.92780638903,1797.61723414136,2990.40953634237,2922.57432540988,2516.72873109792
"lcl|NZ_CP046058.1_cds_WP_103113129.1_3093",442.628056119411,-1.52437576114876,0.159408298631792,-9.56271269584169,1.14709838460937e-21,3.058929025625e-18,311.901950836409,260.810141275474,230.291909576642,215.261061993041,187.648374359635,209.876782009285,235.06276411064,255.708932210711,217.426794886665,200.864442032317,243.889571359862,166.772685696845,556.75948805891,793.505751065206,487.995783908241,940.088804063605,1091.14087654927,825.14279628658,642.91591109286,533.510499306957,484.974919828678,379.83447444068,639.811601863533,511.877030053814
"lcl|NZ_CP097576.1_cds_WP_265795645.1_485",4304.38978540778,1.60081147145456,0.171516647818184,9.33327167839416,1.0265228607287e-20,2.34633796737988e-17,5450.49914730549,5706.54351341422,4967.72547801042,7210.37991565967,7485.78014899121,5747.02593936282,6003.73420466193,5059.41328514172,5750.38881262513,8933.56224061984,7927.20809393851,7458.11421214524,4037.11234011947,1097.20909227094,1541.60099528866,2023.82754143674,2450.23891525997,1629.79671952767,2229.24103955024,2643.62428477185,2536.79188833463,2140.50366811875,1572.05786939876,1702.97550383288
"lcl|NZ_CP134413.1_cds_WP_311131123.1_4425",944.377749905199,-1.48289659456594,0.165147614974469,-8.97921895387462,2.72695618568354e-19,5.45391237136709e-16,523.854645285628,416.326999164397,398.898486230969,454.76063498798,590.049888264185,414.956380429786,611.053087032344,587.183473965337,504.227119659347,544.760890344716,473.432697345614,455.646801993167,2108.25182053076,1926.90077335215,1410.62797177452,805.530638685062,1175.6318736272,920.136662224764,1088.99705955041,2060.48490180843,1446.249000634,1800.5413208293,981.871544134065,964.691325870649
"lcl|NZ_CP011304.1_cds_WP_046662488.1_2616",364.157558510002,-1.67407118277171,0.186988610424831,-8.95279760071102,3.46584966212784e-19,6.16151051044949e-16,171.772088866428,146.265146796381,108.97742149609,219.877921231498,221.008085356903,167.901425607428,175.058451960617,170.884391090894,137.901041114888,258.696877784552,153.825775400174,147.911489100178,677.969826533273,564.758979178331,628.670512867873,483.682053928277,473.149583636407,324.096719083217,300.493306271663,455.52225356109,331.413988147684,816.329340096268,760.330130746415,843.284594383527
"lcl|NZ_CP046058.1_cds_WP_238406009.1_2789",134.265889227794,-2.36690970075465,0.267681063390411,-8.84227547057572,9.37886403203712e-19,1.50061824512594e-15,90.9086201310629,40.9718634098296,38.0392886354275,30.5866924547753,64.6344400572075,39.5767646074652,40.1863741922172,34.1768782181788,16.9203731429311,63.5124071207584,35.8661134352738,25.8100585007023,153.53309540086,249.424446181734,344.410543314961,261.8429164123,398.314700510241,188.125107054051,200.328870847775,194.084384299375,151.825779910588,58.7589242228676,333.198285735026,167.344413671439
