"","B_1_1","B_1_2","B_1_3","B_2_1","B_2_2","B_2_3","B_3_1","B_3_2","B_3_3","B_4_1","B_4_2","B_4_3"
"lcl|NC_008562.1_cds_YP_851015.1_1.1",122.929465492837,55.1748695374634,26.6149523465755,1012.58825957902,966.585477861558,1225.06951288745,25.4209487366359,30.0320651480398,0,1054.14062124063,1165.72037931863,855.982134020368
"lcl|NC_008562.1_cds_YP_851016.1_2.1",242.437234852431,30.4679107657878,95.2579733461324,8053.57229151647,9101.3860791437,8347.72680750978,116.980067825322,103.649348053908,225.591993187569,5085.57812419396,9445.86403787485,5826.4218489617
"lcl|NC_008562.1_cds_YP_851017.1_3.1",138.356947739054,13.3752212041006,71.687402043774,2271.74690413753,1894.25776267467,1998.87249112927,173.318109924215,273.008471477841,148.550199287663,669.761043525921,1126.25738151725,1945.34052910855
"lcl|NC_008562.1_cds_YP_851018.1_4.1",180.985229868446,37.9083809527984,25.3972747882354,1923.23041610087,1736.94915954598,2037.75702911288,272.901361437415,0,0,1606.21426727936,1378.3922984782,1684.69032749597
"lcl|NC_008562.1_cds_YP_851019.1_5.1",176.272072840622,88.6108404771663,59.3661298175004,8697.91408020838,9333.00003763186,8884.65677737593,255.162772943983,150.723426961725,164.024178380128,6826.41063593727,7461.45515255176,7696.9289337472
"lcl|NC_008562.1_cds_YP_851020.1_6.1",242.937553955312,90.6382755890261,153.409110699328,8239.2568539969,7301.13103749166,6554.51960261049,199.18493715681,129.829062255052,123.625221928495,4832.69447443204,4747.28579386628,4432.79891016772
"lcl|NC_008562.1_cds_YP_851022.1_8.1",63.5572544326749,59.9059203225913,73.580555266761,4426.72759644725,4955.02317586375,3623.71049196675,14.3753674898019,67.9316853911998,0,3115.1507690756,3248.2647271032,2621.94762237049
"lcl|NC_008562.1_cds_YP_851023.1_9.1",51.908340468404,0,116.5470033227,335.757350583628,957.529378925871,978.22622382641,156.541578493241,0,0,670.077117638015,1248.43086768853,790.667546340132
"lcl|NC_008562.1_cds_YP_851024.1_10.1",48.6267787146543,30.5554622335056,54.5895446597704,561.663055676636,387.890124299266,357.234571705164,0,0,0,235.393470204734,155.934276960329,164.59618142202
"lcl|NC_008562.1_cds_YP_851025.1_11.1",0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851026.1_12.1",42.4113257962398,0,35.7089502661656,1675.36065750402,1776.12846389664,2214.87770086961,0,181.321415893804,0,1745.09745580351,1020.02121019163,1507.35450354902
"lcl|NC_008562.1_cds_YP_851027.1_13.1",135.222412042121,72.8308277894517,97.5881586041102,2570.41635123905,2947.03507108877,3239.36650042354,139.815218051498,0,89.8762621260976,2898.88670841172,2601.75273065317,2353.95086855601
"lcl|NC_008562.1_cds_YP_851028.1_14.1",68.7891015963402,20.3410824624772,88.5807388955529,1850.82884688393,1730.89707188205,1868.91329672314,29.2869753737714,86.498379891951,94.1315227432586,1175.27873215563,1479.25027153759,1068.34020768037
"lcl|NC_008562.1_cds_YP_851029.1_15.1",0,0,0,0,0,0,0,0,0,0,0,0
"lcl|NC_008562.1_cds_YP_851030.1_16.1",155.820616875688,0,91.8371069000005,3844.38191390426,2843.27747190083,1806.68188149904,112.779126163086,333.090446324253,144.993748844312,2489.18840868431,2473.41054780721,1898.76699894573
"lcl|NC_008562.1_cds_YP_851031.1_17.1",47.0058860908325,0,0,1270.48183194055,1089.72881795325,653.117988704441,0,0,0,227.547021197909,1808.83761273982,1073.99008377868
"lcl|NC_008562.1_cds_YP_851032.1_18.1",0,51.3686031751689,68.8302954405801,1246.40358094502,1467.236557132,1410.02984068125,0,0,0,395.733949909407,3342.4173278888,207.534315706025
"lcl|NC_008562.1_cds_YP_851033.1_19.1",67.1512658440464,31.6467287418451,113.078342509524,4281.47723584361,6176.80389899768,4496.21866608106,30.3765205885694,35.886530228982,117.160127414377,3250.6717313987,4158.71147571878,2684.9752094467
"lcl|NC_008562.1_cds_YP_851034.1_20.1",91.7188021284536,61.2351336630824,86.8772631475615,3503.95552148707,3215.17157145923,2850.86826019853,124.469645338528,98.0314972108778,106.68239244236,2525.21694256216,3226.1280593073,2357.53920829466
