# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/phage_pangenome.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/FC/TAIHU_all_featurecounts.txt" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam" 
Geneid	Chr	Start	End	Strand	Length	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam
lcl|NC_008562.1_cds_YP_851015.1_1.1	lcl|NC_008562.1_cds_YP_851015.1_1	1	2409	+	2409	709	403	298	1316	1283	764	554	656	234	1808	504	714	376	631	1417	1680	1272	1040	308	437	458	1358	987	809
lcl|NC_008562.1_cds_YP_851016.1_2.1	lcl|NC_008562.1_cds_YP_851016.1_2	1	1047	+	1047	867	600	464	1654	1661	1144	441	508	283	3015	1164	1252	545	885	2326	2483	2825	2191	400	488	559	2193	2042	1602
lcl|NC_008562.1_cds_YP_851017.1_3.1	lcl|NC_008562.1_cds_YP_851017.1_3	1	795	+	795	313	311	148	616	642	386	211	291	124	846	315	390	216	342	910	836	845	624	155	207	207	743	673	456
lcl|NC_008562.1_cds_YP_851018.1_4.1	lcl|NC_008562.1_cds_YP_851018.1_4	1	561	+	561	436	280	133	777	718	342	322	362	166	789	265	394	263	380	749	1094	1040	591	193	277	295	790	549	405
lcl|NC_008562.1_cds_YP_851019.1_5.1	lcl|NC_008562.1_cds_YP_851019.1_5	1	240	+	240	122	81	98	280	284	298	90	131	86	245	311	266	130	131	442	217	252	296	138	118	117	276	288	336
lcl|NC_008562.1_cds_YP_851020.1_6.1	lcl|NC_008562.1_cds_YP_851020.1_6	1	2229	+	2229	1231	871	917	2343	2615	2228	922	1126	561	3384	1566	2180	932	1225	2915	3329	3406	3297	805	918	825	3072	2562	2970
lcl|NC_008562.1_cds_YP_851022.1_8.1	lcl|NC_008562.1_cds_YP_851022.1_8	1	1065	+	1065	727	457	408	1194	1224	941	526	497	249	2005	785	1108	555	817	2244	1583	1593	1393	383	476	425	1688	1398	1339
lcl|NC_008562.1_cds_YP_851023.1_9.1	lcl|NC_008562.1_cds_YP_851023.1_9	1	489	+	489	82	51	44	123	83	80	65	74	42	176	66	91	47	60	150	157	104	97	25	48	34	78	108	133
lcl|NC_008562.1_cds_YP_851024.1_10.1	lcl|NC_008562.1_cds_YP_851024.1_10	1	522	+	522	144	89	38	294	247	131	120	167	62	498	75	145	77	110	340	297	234	153	100	89	106	246	156	129
lcl|NC_008562.1_cds_YP_851025.1_11.1	lcl|NC_008562.1_cds_YP_851025.1_11	1	126	+	126	0	2	0	0	8	0	2	1	0	0	0	0	0	8	0	3	0	0	2	1	0	0	4	0
lcl|NC_008562.1_cds_YP_851026.1_12.1	lcl|NC_008562.1_cds_YP_851026.1_12	1	399	+	399	34	29	26	57	51	40	29	55	15	58	18	27	23	20	60	39	35	86	44	28	27	47	95	23
lcl|NC_008562.1_cds_YP_851027.1_13.1	lcl|NC_008562.1_cds_YP_851027.1_13	1	438	+	438	138	84	45	303	315	166	162	270	63	483	188	254	91	146	346	361	373	284	84	128	148	391	359	207
lcl|NC_008562.1_cds_YP_851028.1_14.1	lcl|NC_008562.1_cds_YP_851028.1_14	1	2091	+	2091	785	532	344	1435	1505	857	837	996	408	1982	797	881	487	807	2606	1537	1324	1430	526	659	752	1709	1570	1136
lcl|NC_008562.1_cds_YP_851029.1_15.1	lcl|NC_008562.1_cds_YP_851029.1_15	1	126	+	126	2	0	1	1	6	6	0	4	0	2	4	2	10	10	20	2	8	6	7	8	2	4	13	8
lcl|NC_008562.1_cds_YP_851030.1_16.1	lcl|NC_008562.1_cds_YP_851030.1_16	1	543	+	543	693	514	455	1268	1192	1321	688	862	585	997	1235	862	403	816	2993	1944	1629	2388	573	689	873	1073	1333	1401
lcl|NC_008562.1_cds_YP_851031.1_17.1	lcl|NC_008562.1_cds_YP_851031.1_17	1	360	+	360	105	70	41	143	89	61	32	71	17	88	53	40	58	92	270	294	248	205	64	48	68	124	129	68
lcl|NC_008562.1_cds_YP_851032.1_18.1	lcl|NC_008562.1_cds_YP_851032.1_18	1	207	+	207	67	66	44	99	83	80	47	72	23	135	30	93	23	69	155	117	177	116	34	47	56	114	197	136
lcl|NC_008562.1_cds_YP_851033.1_19.1	lcl|NC_008562.1_cds_YP_851033.1_19	1	1008	+	1008	1383	786	454	1953	1794	887	851	895	299	2527	936	1054	943	1209	2891	3229	3140	2509	566	688	860	2719	3046	1362
lcl|NC_008562.1_cds_YP_851034.1_20.1	lcl|NC_008562.1_cds_YP_851034.1_20	1	1476	+	1476	540	393	307	974	974	929	344	453	239	1051	643	734	368	568	1821	1483	1361	1380	314	426	455	1106	1263	1065
lcl|NC_008562.1_cds_YP_851035.1_21.1	lcl|NC_008562.1_cds_YP_851035.1_21	1	729	+	729	413	230	212	653	653	503	213	231	113	700	291	421	278	339	801	1016	1121	956	201	203	220	666	780	594
lcl|NC_008562.1_cds_YP_851036.1_22.1	lcl|NC_008562.1_cds_YP_851036.1_22	1	165	+	165	48	5	9	77	55	40	26	46	7	118	29	41	21	32	148	51	28	21	18	22	30	73	55	48
lcl|NC_008562.1_cds_YP_851037.1_23.1	lcl|NC_008562.1_cds_YP_851037.1_23	1	381	+	381	89	80	18	130	189	54	83	122	41	128	35	46	42	122	335	158	165	135	68	71	81	192	163	70
lcl|NC_008562.1_cds_YP_851038.1_24.1	lcl|NC_008562.1_cds_YP_851038.1_24	1	813	+	813	22	28	16	21	28	22	47	45	27	23	14	26	8	27	41	50	32	35	29	18	43	45	36	42
lcl|NC_008562.1_cds_YP_851039.1_25.1	lcl|NC_008562.1_cds_YP_851039.1_25	1	1221	+	1221	437	244	141	876	764	324	347	354	193	1102	268	282	240	485	1254	1193	977	945	206	331	304	927	836	413
