Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_100722	11.7528327816098	-7.44517035807233	1.29823156149535e-06	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Ericales	f__Actinidiaceae	g__Actinidia	s__Actinidia	Actinidia eriantha (taxid 165200)	0	0	0	0.0352008390315314	0.0762923496144095	0.060921413906246	0	0	0	0.528672102310421	0.234137637326116	0.458220248947524	gene_100722	55529.EKX37871	1.09e-67	215.0	28JI2@1|root,2QRXA@2759|Eukaryota	2759|Eukaryota	S	oxygen evolving activity	PsbO	-	-	ko:K02716	ko00195,ko01100,map00195,map01100	-	-	-	ko00000,ko00001,ko00194	-	-	-	-
gene_101492	14.864350568927	-4.95320543551391	7.301271619611e-06	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	NA	NA	Poaceae (taxid 4479)	0	0	0	0.811674821172319	0.699160911977308	1.4767884349098	0	0.132319574399072	0.0251438698883236	0.275063850019612	0.151016445574641	0.23221589258446	gene_101492	112098.XP_008614757.1	1.71e-86	255.0	COG2036@1|root,KOG1745@2759|Eukaryota	2759|Eukaryota	B	protein heterodimerization activity	-	GO:0000785,GO:0000786,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0031490,GO:0031491,GO:0031492,GO:0031497,GO:0032991,GO:0032993,GO:0034622,GO:0034728,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044815,GO:0044877,GO:0051276,GO:0065003,GO:0065004,GO:0071103,GO:0071824,GO:0071840,GO:0097159,GO:1901363	-	ko:K11253	ko05034,ko05202,ko05322,map05034,map05202,map05322	-	-	-	ko00000,ko00001,ko03036,ko04147	-	-	-	-
gene_10173	20.1826688369511	-8.22567101956047	1.49937167706084e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Proteales	f__Proteaceae	g__Telopea	s__Telopea	Telopea speciosissima (taxid 54955)	0	0	0	0.115147359985836	0.0772460039845897	0.0427035680169744	0	0	0	0.0790568128378046	0.238722150504529	0.21073096064235	gene_10173	760192.Halhy_3123	1.11e-258	735.0	COG4775@1|root,COG4775@2|Bacteria,4NE6Z@976|Bacteroidetes,1IR22@117747|Sphingobacteriia	976|Bacteroidetes	M	Outer membrane protein assembly complex, YaeT protein	yaeT	-	-	ko:K07277	-	-	-	-	ko00000,ko02000,ko03029	1.B.33	-	-	-
gene_101977	25.7152356277992	-3.08987443640442	0.000104235514058367	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Brachypodium	s__Brachypodium	Brachypodium distachyon (taxid 15368)	0.0272121093548668	0.115010624467126	0	0.271549329671814	0.294270491369865	0.274146362578107	0.0976908117817014	0.115097026620145	0.0656135271371491	0.282764050150031	0.328400841963902	0.26932128917732	gene_101977	10228.TriadP63360	3.54e-119	352.0	COG0244@1|root,KOG0815@2759|Eukaryota,38BU8@33154|Opisthokonta,3BAZV@33208|Metazoa	33208|Metazoa	J	ribosome biogenesis	RPLP0	GO:0000184,GO:0000956,GO:0002181,GO:0003674,GO:0003735,GO:0003824,GO:0003906,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005783,GO:0005829,GO:0005840,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006412,GO:0006413,GO:0006518,GO:0006605,GO:0006612,GO:0006613,GO:0006614,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0007154,GO:0007165,GO:0007166,GO:0007275,GO:0007589,GO:0007595,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009719,GO:0009790,GO:0009792,GO:0009892,GO:0009987,GO:0010033,GO:0010035,GO:0010243,GO:0010269,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0012505,GO:0014070,GO:0014074,GO:0015031,GO:0015833,GO:0015934,GO:0016020,GO:0016070,GO:0016071,GO:0016787,GO:0016788,GO:0016888,GO:0016893,GO:0019221,GO:0019222,GO:0019439,GO:0019538,GO:0022625,GO:0022626,GO:0023052,GO:0030425,GO:0030879,GO:0032501,GO:0032502,GO:0032991,GO:0033036,GO:0033218,GO:0033365,GO:0033993,GO:0034097,GO:0034613,GO:0034641,GO:0034645,GO:0034655,GO:0035690,GO:0035722,GO:0035770,GO:0036464,GO:0036477,GO:0042221,GO:0042277,GO:0042493,GO:0042886,GO:0042995,GO:0043005,GO:0043009,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044463,GO:0044464,GO:0045047,GO:0045184,GO:0046483,GO:0046683,GO:0046700,GO:0046903,GO:0046907,GO:0048513,GO:0048519,GO:0048731,GO:0048732,GO:0048856,GO:0050789,GO:0050794,GO:0050878,GO:0050896,GO:0051179,GO:0051234,GO:0051591,GO:0051641,GO:0051649,GO:0051716,GO:0052720,GO:0060255,GO:0065007,GO:0065008,GO:0070670,GO:0070671,GO:0070727,GO:0070887,GO:0070972,GO:0071310,GO:0071320,GO:0071345,GO:0071349,GO:0071353,GO:0071396,GO:0071407,GO:0071417,GO:0071495,GO:0071702,GO:0071704,GO:0071705,GO:0072594,GO:0072599,GO:0072657,GO:0090150,GO:0090304,GO:0090305,GO:0097305,GO:0097306,GO:0097327,GO:0097447,GO:0097458,GO:0120025,GO:0120038,GO:0140097,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1904400,GO:1904401,GO:1904587,GO:1904588,GO:1904627,GO:1904628,GO:1990904	-	ko:K02941	ko03010,map03010	M00177	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_102199	96.0328308222217	-10.493213472753	3.50577807217737e-13	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Ericales	f__Ericaceae	g__Rhododendron	s__Rhododendron	Rhododendron vialii (taxid 182163)	0	0	0	0.375166837046585	0.252969369774095	0.173145071101962	0	0	0	1.58267732523246	1.0183306810021	1.98447265709604	gene_102199	67593.Physo119323	6.48e-112	340.0	KOG1109@1|root,KOG1109@2759|Eukaryota	2759|Eukaryota	S	endoplasmic reticulum organization	-	GO:0000045,GO:0000407,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006810,GO:0006887,GO:0006897,GO:0006907,GO:0006914,GO:0006950,GO:0006970,GO:0006971,GO:0006996,GO:0007029,GO:0007030,GO:0007033,GO:0007154,GO:0008150,GO:0008152,GO:0008219,GO:0008283,GO:0009056,GO:0009267,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0010256,GO:0012501,GO:0012505,GO:0016020,GO:0016043,GO:0016050,GO:0016192,GO:0016236,GO:0022607,GO:0030587,GO:0031152,GO:0031667,GO:0031668,GO:0031669,GO:0031984,GO:0032502,GO:0032940,GO:0033298,GO:0033554,GO:0042175,GO:0042594,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044085,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044764,GO:0046903,GO:0048102,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051703,GO:0051704,GO:0051716,GO:0061919,GO:0070925,GO:0071496,GO:0071840,GO:0090702,GO:0098630,GO:0098657,GO:0098743,GO:0098827,GO:0099120,GO:1905037	-	ko:K21248	ko04140,map04140	-	-	-	ko00000,ko00001	-	-	-	-
gene_102545	14.3110455207555	-7.74215049202657	0.00204990809076461	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Myrtales	f__Myrtaceae	g__Eucalyptus	s__Eucalyptus	Eucalyptus grandis (taxid 71139)	0	0	0	0	0	0	0	0	0	0.920362895723695	1.59543991133209	0.896900188771486	gene_102545	404380.Gbem_2739	8.8e-30	106.0	COG1278@1|root,COG1278@2|Bacteria,1N6Q5@1224|Proteobacteria,42V0K@68525|delta/epsilon subdivisions,2WR92@28221|Deltaproteobacteria	28221|Deltaproteobacteria	K	PFAM Cold-shock protein, DNA-binding	-	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	-
gene_102760	150.472142457672	-4.80366827656472	2.02912495207371e-22	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Lamiales	f__Oleaceae	g__Olea	s__Olea	Olea europaea var. sylvestris (taxid 158386)	0.152268386201998	0.113568484975375	0.0805068914285691	1.34072161201601	1.75316949482266	1.07896789409659	0.0160776414374273	0.0397788313005362	0.0539923224874659	1.04169948786282	0.583709333522046	0.592833989793729	gene_102760	1123399.AQVE01000011_gene1302	2.93e-276	776.0	COG0451@1|root,COG0451@2|Bacteria	2|Bacteria	GM	ADP-glyceromanno-heptose 6-epimerase activity	-	-	6.3.5.5	ko:K01955	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R00256,R00575,R01395,R10948,R10949	RC00002,RC00010,RC00043,RC02750,RC02798,RC03314	ko00000,ko00001,ko00002,ko01000	-	-	-	-
gene_10391	62.4466622995882	-9.38253013534907	1.96125234742975e-16	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Lotus	s__Lotus	Lotus japonicus (taxid 34305)	0	0	0	0.937222339214524	1.15869005976884	0.993780564345638	0	0	0.0159477322902793	0.793008153465632	1.61235691158666	1.03099556013193	gene_10391	3055.DAA00911	1.51e-148	418.0	COG1290@1|root,KOG4663@2759|Eukaryota,37QS7@33090|Viridiplantae,34J8E@3041|Chlorophyta	3041|Chlorophyta	C	Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions	petB	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035	-	ko:K02635	ko00195,ko01100,map00195,map01100	M00162	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_104020	40.2922269773614	-9.2323865193153	4.64200642297483e-16	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Vicia	s__Vicia	Vicia villosa (taxid 3911)	0	0	0	0.42656764779155	0.770432585673073	0.317319018102218	0	0	0	0.260756066840353	0.515873763557469	0.315445210749027	gene_104020	748247.AZKH_0421	2.03e-156	452.0	COG0683@1|root,COG0683@2|Bacteria,1MXR4@1224|Proteobacteria,2VHP9@28216|Betaproteobacteria,2KVKD@206389|Rhodocyclales	206389|Rhodocyclales	E	amino acid	-	-	-	ko:K01999	ko02010,ko02024,map02010,map02024	M00237	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.4	-	-	-
gene_105	38.6279708938517	-9.1745393253241	1.38443935440726e-08	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Apiales	f__Apiaceae	g__Daucus	s__Daucus	Daucus carota subsp. sativus (taxid 79200)	0	0	0	0.0618161075675674	0.0502413034046112	0.0267459865929861	0	0	0	0.36207591787504	0.747579152438152	0.50771442217879	gene_105	5888.CAK70211	2.21e-200	567.0	COG0055@1|root,KOG1350@2759|Eukaryota,3ZBFN@5878|Ciliophora	5878|Ciliophora	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	-	-	3.6.3.14	ko:K02133	ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016	M00158	-	-	ko00000,ko00001,ko00002,ko01000	3.A.2.1	-	-	-
