Accession_ID	Chr	Start	End	Strand	Length	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3
lcl|NC_010296.1_cds_WP_012263779.1_1	lcl|NC_010296.1_cds_WP_012263779.1_1	1	972	+	972	2777	3058	2256	1686	1250	2445	1296	979	996	450	290	431
lcl|NC_010296.1_cds_WP_012263780.1_2	lcl|NC_010296.1_cds_WP_012263780.1_2	1	546	+	546	862	908	711	502	437	905	380	447	433	131	100	161
lcl|NC_010296.1_cds_WP_041803568.1_5	lcl|NC_010296.1_cds_WP_041803568.1_5	1	495	+	495	412	397	458	145	129	243	278	192	177	52	28	58
lcl|NC_010296.1_cds_WP_002761720.1_6	lcl|NC_010296.1_cds_WP_002761720.1_6	1	801	+	801	3243	2896	2503	2759	2246	3637	2512	2642	2503	817	290	680
lcl|NC_010296.1_cds_WP_012263786.1_8	lcl|NC_010296.1_cds_WP_012263786.1_8	1	702	+	702	147	168	204	43	42	76	64	70	76	10	30	17
lcl|NC_010296.1_cds_WP_002797429.1_9	lcl|NC_010296.1_cds_WP_002797429.1_9	1	1794	+	1794	3631	3275	3374	1683	1436	2585	2594	2858	2457	708	341	693
lcl|NC_010296.1_cds_WP_002767156.1_10	lcl|NC_010296.1_cds_WP_002767156.1_10	1	243	+	243	56	92	71	17	2	27	34	8	9	9	9	10
lcl|NC_010296.1_cds_WP_002797431.1_11	lcl|NC_010296.1_cds_WP_002797431.1_11	1	447	+	447	89	120	123	15	6	24	22	32	27	14	14	10
lcl|NC_010296.1_cds_WP_002797432.1_12	lcl|NC_010296.1_cds_WP_002797432.1_12	1	267	+	267	3	11	2	4	2	2	0	4	5	0	0	0
lcl|NC_010296.1_cds_WP_002776225.1_13	lcl|NC_010296.1_cds_WP_002776225.1_13	1	213	+	213	4	28	21	2	3	7	2	5	0	3	2	1
lcl|NC_010296.1_cds_WP_012263789.1_15	lcl|NC_010296.1_cds_WP_012263789.1_15	1	654	+	654	393	482	584	279	205	419	537	450	513	142	119	129
lcl|NC_010296.1_cds_WP_012263790.1_16	lcl|NC_010296.1_cds_WP_012263790.1_16	1	1095	+	1095	1827	2380	2636	1147	893	1524	2604	1830	2200	546	396	622
lcl|NC_010296.1_cds_WP_012263791.1_17	lcl|NC_010296.1_cds_WP_012263791.1_17	1	546	+	546	239	243	164	141	163	308	391	679	458	214	170	230
lcl|NC_010296.1_cds_WP_012263792.1_18	lcl|NC_010296.1_cds_WP_012263792.1_18	1	876	+	876	329	323	262	206	187	269	547	827	644	261	142	283
lcl|NC_010296.1_cds_WP_012263793.1_19	lcl|NC_010296.1_cds_WP_012263793.1_19	1	1074	+	1074	844	1070	911	418	441	754	1276	1610	1483	605	339	570
lcl|NC_010296.1_cds_WP_002734814.1_21	lcl|NC_010296.1_cds_WP_002734814.1_21	1	261	+	261	2204	2607	2339	1260	969	2006	767	666	902	316	234	277
lcl|NC_010296.1_cds_WP_002763481.1_22	lcl|NC_010296.1_cds_WP_002763481.1_22	1	147	+	147	25	18	57	4	6	8	16	20	20	1	3	2
lcl|NC_010296.1_cds_WP_012263794.1_23	lcl|NC_010296.1_cds_WP_012263794.1_23	1	1878	+	1878	898	967	1078	360	236	488	644	340	582	111	64	125
lcl|NC_010296.1_cds_WP_012263795.1_24	lcl|NC_010296.1_cds_WP_012263795.1_24	1	201	+	201	46	75	62	42	33	90	26	17	11	11	42	15
lcl|NC_010296.1_cds_WP_012263796.1_25	lcl|NC_010296.1_cds_WP_012263796.1_25	1	1593	+	1593	386	362	276	186	136	310	213	246	222	97	48	104
lcl|NC_010296.1_cds_WP_002797450.1_26	lcl|NC_010296.1_cds_WP_002797450.1_26	1	639	+	639	769	719	610	389	293	590	324	298	334	92	66	97
lcl|NC_010296.1_cds_WP_002797452.1_27	lcl|NC_010296.1_cds_WP_002797452.1_27	1	294	+	294	181	229	283	74	82	138	70	55	72	31	14	28
lcl|NC_010296.1_cds_WP_041804476.1_28	lcl|NC_010296.1_cds_WP_041804476.1_28	1	519	+	519	921	968	937	322	243	494	333	240	289	114	82	89
lcl|NC_010296.1_cds_WP_002742402.1_29	lcl|NC_010296.1_cds_WP_002742402.1_29	1	657	+	657	489	521	495	163	116	228	184	151	146	81	60	41
