Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	A_1_1	A_1_2	A_1_3	A_2_1	A_2_2	A_2_3	A_3_1	A_3_2	A_3_3	A_4_1	A_4_2	A_4_3	A_5_1	A_5_2	A_5_3	A_6_1	A_6_2	A_6_3	A_7_1	A_7_2	A_7_3	A_8_1	A_8_2	A_8_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_1001463	11.1437007727358	-3.03262569986021	0.00645805102307179	d__Bacteria	k__Bacillati	p__Bacillota	NA	NA	NA	NA	NA	Bacillota (taxid 1239)	0.198115753241119	0	0.42036048675817	0.153168198324028	0.0606290618988701	0.0401570694330141	0	0	0	0	0.0958530907308494	0.179368095879003	0.303476197387969	0.851274637139805	1.07128546922901	0.698238542228906	0.728450752676502	1.27601276120151	0	0	0	0.250494470862417	0.645062190818254	0.445445624492903	gene_1001463	5932.XP_004032309.1	4.24e-23	97.1	COG0056@1|root,KOG1353@2759|Eukaryota,3ZAKV@5878|Ciliophora	5878|Ciliophora	C	Produces ATP from ADP in the presence of a proton gradient across the membrane	-	-	-	ko:K02132	ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016	M00158	-	-	ko00000,ko00001,ko00002	3.A.2.1	-	-	-
gene_1002470	31.6158461315325	-3.86130782973643	0.00249237302830789	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Metabacillus	s__Metabacillus	Metabacillus halosaccharovorans (taxid 930124)	0.0638053955687985	0	0	0	0	0	0.222977838097005	0.278267409308326	0.10766655241902	0	0	0	0	2.50601682129019	0.275459096809704	0.042164163178074	0.0879771440430558	0.0924646928406892	0.645481733751213	1.11135795638708	0.815986306158645	0.518622092882852	0.163602729555354	0.338926018635905	gene_1002470	574376.BAMA_12140	4.42e-63	196.0	COG1098@1|root,COG1098@2|Bacteria,1V6FE@1239|Firmicutes,4HIKM@91061|Bacilli,1ZG7S@1386|Bacillus	91061|Bacilli	J	RNA binding protein (contains ribosomal protein S1 domain)	yabR	-	-	ko:K07571	-	-	-	-	ko00000	-	-	-	-
gene_1003009	10.5360703613764	-3.38235252139403	0.0305420052411716	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Alkalihalobacillus	s__Alkalihalobacillus	Alkalihalobacillus sp. AL-G (taxid 2926399)	0	0	0	0	0	0	0.051456424176232	0.102026689293463	0.0446453853179829	0	0	0	0	0.699163864638061	0.0166142287411447	0	0	0	0.0927879992267368	0.117452908597069	0.0555256953894936	0.22365577755573	0.108544118647302	0.117786102630335	gene_1003009	1178540.BA70_18850	1.45e-95	282.0	COG0290@1|root,COG0290@2|Bacteria,1V1RC@1239|Firmicutes,4HFUS@91061|Bacilli,1ZCBZ@1386|Bacillus	91061|Bacilli	J	IF-3 binds to the 30S ribosomal subunit and shifts the equilibrum between 70S ribosomes and their 50S and 30S subunits in favor of the free subunits, thus enhancing the availability of 30S subunits on which protein synthesis initiation begins	infC	GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0006996,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016043,GO:0019538,GO:0022411,GO:0032790,GO:0032984,GO:0032988,GO:0034641,GO:0034645,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903008	-	ko:K02520	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	-
gene_1003010	11.9054466222952	-3.71638246679041	0.0108917464219167	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	NA	NA	Bacillaceae (taxid 186817)	0	0	0	0	0	0	0.179713481451318	0.271491062341666	0.110880479356901	0	0	0	0	2.22347852984277	0.0515785011665389	0	0.24160887319287	0	0.421008235297433	0.830545940726208	0.452492980338261	0.640924019264181	0.0962779389280976	0.13296884313221	gene_1003010	935837.JAEK01000018_gene854	3.24e-36	122.0	COG0291@1|root,COG0291@2|Bacteria,1VF5W@1239|Firmicutes,4HNIQ@91061|Bacilli,1ZJBX@1386|Bacillus	91061|Bacilli	J	Belongs to the bacterial ribosomal protein bL35 family	rpmI	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02916	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_1003677	13.0200511774091	-4.6830726126859	0.000269542728979505	d__Bacteria	k__Bacillati	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Paraclostridium	s__Paraclostridium	Paraclostridium sordellii (taxid 1505)	0.0347206016896459	0.026515702441152	0	0.0080530072725567	0.00956294351717194	0	0	0	0	0	0	0	0.00957338162107159	0.0111892039581993	0	0.452765966744997	0.338309585452634	0.0939231264817096	0.0187332238186472	0	0.0182166319258906	0.0338658590620663	0.111919307555218	0.0351297811114277	gene_1003677	926549.KI421517_gene3543	1.91e-92	285.0	COG3842@1|root,COG3842@2|Bacteria,4NEZ6@976|Bacteroidetes,47N5M@768503|Cytophagia	976|Bacteroidetes	E	Belongs to the ABC transporter superfamily	fbpC2	-	3.6.3.30	ko:K02010	ko02010,map02010	M00190	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.10	-	-	-
gene_1004359	15.8497814494469	-3.55015209467068	0.000260802810194883	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Listeriaceae	g__Listeria	s__Listeria	Listeria seeligeri (taxid 1640)	0.0307156206575379	0.0293214337459715	0.00814652106120485	0	0.00704989091847326	0	0.00622263734224201	0.0141006985867377	0.0172767258532846	0.00595072065352225	0.00743047214967825	0.0125140532008606	0.00705758598576673	0.251587949929884	0.0562565512723412	0.0811905281661519	0.169407151785233	0.0692410025458184	0	0	0	0.14147528254688	0.0600057851923957	0.155388008544036	gene_1004359	1519464.HY22_01095	3.51e-220	617.0	COG0538@1|root,COG0538@2|Bacteria	2|Bacteria	C	isocitrate dehydrogenase activity	icd	GO:0003674,GO:0003824,GO:0003862,GO:0004448,GO:0004450,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006091,GO:0006520,GO:0006551,GO:0006807,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0022900,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0050896,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.42	ko:K00031	ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146	M00009,M00010,M00173,M00740	R00267,R00268,R01899	RC00001,RC00084,RC00114,RC00626,RC02801	br01601,ko00000,ko00001,ko00002,ko01000	-	-	e_coli_core.b1136,iAF1260.b1136,iECDH1ME8569_1439.ECDH1ME8569_1071,iEcDH1_1363.EcDH1_2511,iJN746.PP_4011,iJO1366.b1136,iJR904.b1136,iY75_1357.Y75_RS05930,iYL1228.KPN_01144	-
gene_1012173	23.180174332823	-5.3193920274724	5.04462299622205e-09	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Listeriaceae	g__Listeria	s__Listeria	Listeria ivanovii subsp. londoniensis (taxid 202752)	0.0284649070748735	0.0362305072148499	0.0150991554151642	0.0110034625232779	0.0130666081678599	0	0	0	0	0	0	0.0154627668861209	0.189672623367481	0.122309574301696	0.104268607961667	0.217363530866278	0.601809170673835	0.476671433782174	0.0383950341627877	0.0234005794906038	0.012445414483852	0.57070784617669	0.180728631048218	0.240003030437987	gene_1012173	105425.BBPL01000004_gene7773	1.2e-118	344.0	COG2884@1|root,COG2884@2|Bacteria,2GJE1@201174|Actinobacteria,2NEXP@228398|Streptacidiphilus	201174|Actinobacteria	D	ATPases associated with a variety of cellular activities	ftsE	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0008144,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030145,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K09812	ko02010,map02010	M00256	-	-	ko00000,ko00001,ko00002,ko02000,ko03036	3.A.1.140	-	-	-
gene_1014854	10.7833359402481	-5.65093442363031	2.15267361459747e-05	d__Bacteria	k__Bacillati	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Fervidibacillus	s__Fervidibacillus	Fervidibacillus halotolerans (taxid 2980027)	0	0	0.0173416042391985	0	0	0	0	0	0	0	0	0.00887960870688132	0.0713619771085572	0.298508020449189	0	0.0144026101944906	0.060103197415553	0.010528158095722	0.0146990889864138	0.0167974456739483	0	0.093005372844957	0.0718509866010432	0.143336463326924	gene_1014854	561175.KB894096_gene863	1.77e-174	499.0	COG0126@1|root,COG0126@2|Bacteria,2GJC6@201174|Actinobacteria,4EH81@85012|Streptosporangiales	201174|Actinobacteria	G	Phosphoglycerate kinase	pgk	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044424,GO:0044464,GO:0071944	2.7.2.3,5.3.1.1	ko:K00927,ko:K01803	ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01015,R01512	RC00002,RC00043,RC00423	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	-
gene_1016145	17.8556692365022	-3.71766647824608	0.000603230201565684	d__Bacteria	k__Bacillati	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Clostridiaceae	g__Clostridium	s__Clostridium	Clostridium chauvoei (taxid 46867)	0.0307872188408888	0.0183686137977386	0.00612413296559106	0.0133888285248277	0	0.0140409333681867	0	0	0	0.00894688769585512	0.0111716888963694	0.00627161174402107	0.0424442234109048	0.0558090889733264	0.0302076886202631	0.142414621083984	0.155651870230022	0.334618731084312	0	0	0	0.0375366339953672	0.0451092441131646	0.0272562882119783	gene_1016145	5932.XP_004037482.1	8.29e-177	518.0	COG0008@1|root,KOG1147@2759|Eukaryota,3ZAWX@5878|Ciliophora	5878|Ciliophora	J	tRNA synthetases class I (E and Q), catalytic domain	-	-	6.1.1.17	ko:K01885	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120	M00121,M00359,M00360	R05578	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko02048,ko03016	-	-	-	-
gene_1017350	15.0979504731655	-4.13794787212681	0.000618585752859808	d__Bacteria	k__Bacillati	p__Bacillota	NA	NA	NA	NA	NA	Bacillota (taxid 1239)	0.0577596948224838	0.0122528829064798	0.0204256796286769	0	0.00883805567038922	0	0	0	0	0	0.0186303383344702	0	0.0265431076432626	0.144774598153028	0	0.0226186764570426	0.117986840407597	0.0992041019398648	0.043283031709265	0.00791389860323628	0	0.417316902727892	0.0564194335992642	0.194801293510016	gene_1017350	1463861.JNXE01000016_gene7473	5.62e-123	364.0	COG0444@1|root,COG0444@2|Bacteria,2GIXV@201174|Actinobacteria	201174|Actinobacteria	EP	Belongs to the ABC transporter superfamily	oppD1	-	-	ko:K02031	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	-
