gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	A_1_1	A_1_2	A_1_3	A_2_1	A_2_2	A_2_3	A_3_1	A_3_2	A_3_3	A_4_1	A_4_2	A_4_3	A_5_1	A_5_2	A_5_3	A_6_1	A_6_2	A_6_3	A_7_1	A_7_2	A_7_3	A_8_1	A_8_2	A_8_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_1018527	16.5886680250716	-4.4133563495601	1.67576352776531e-05	d__Eukaryota	NA	p__Bacillariophyta	c__Bacillariophyceae	o__Naviculales	f__Phaeodactylaceae	g__Phaeodactylum	s__Phaeodactylum	Phaeodactylum tricornutum CCAP 1055/1 (taxid 556484)	0.12023831896053	0.0353171330833831	0.0294370088766226	0	0.114634780901225	0	0	0.0169840347123171	0	0	0	0	0.0510044029223478	0.149032674569294	0.0145199982275551	0.586755077503283	1.20728299346479	0.518268488443191	0.124756973750234	0.0456212978304209	0.0727899872332857	0.285677967970344	0.352344894144425	0.280743040646788	gene_1018527	340170.XP_007374445.1	2.8e-57	190.0	COG5256@1|root,KOG0052@2759|Eukaryota,38G33@33154|Opisthokonta,3NU3J@4751|Fungi,3QNF5@4890|Ascomycota,3RR4S@4891|Saccharomycetes,47AEI@766764|Debaryomycetaceae	4751|Fungi	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis	TEF1	GO:0000166,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0001882,GO:0001883,GO:0002181,GO:0002182,GO:0003674,GO:0003676,GO:0003723,GO:0003746,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005516,GO:0005525,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005773,GO:0005774,GO:0005829,GO:0005840,GO:0005853,GO:0006403,GO:0006405,GO:0006409,GO:0006412,GO:0006414,GO:0006518,GO:0006611,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009277,GO:0009986,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019003,GO:0019538,GO:0030312,GO:0030445,GO:0030446,GO:0031090,GO:0031503,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042886,GO:0043043,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0050657,GO:0050658,GO:0051031,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0051701,GO:0051704,GO:0070727,GO:0071166,GO:0071426,GO:0071431,GO:0071702,GO:0071704,GO:0071705,GO:0071944,GO:0097064,GO:0097159,GO:0097367,GO:0098588,GO:0098805,GO:0098852,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K03231	ko03013,ko05134,map03013,map05134	-	-	-	ko00000,ko00001,ko03012,ko03016,ko03019,ko04131,ko04147	-	-	-	-
gene_1028308	12.9223569693294	-1.81160696863295	0.0152548669587319	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0.196543405993174	0.100065210402919	0.187660931588469	0.197538351013132	0.09022181830189	0.19122414015721	0.0637079537420015	0.0240607158424493	0	0.0304620223930305	0.380369407662101	0.149473413232502	0.578049899786608	0.190016660075849	1.06963986942989	0.207809089949079	0.192711839332408	0.784849118992993	0.0706956184584662	0	0.0687460990536587	0.213005502434028	0.230379353863662	0.371204687077419	gene_1028308	159749.K0RTY3	2.56e-52	164.0	2CHYC@1|root,2S3QA@2759|Eukaryota,2XGKP@2836|Bacillariophyta	2836|Bacillariophyta	C	This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	psbE	-	-	ko:K02707	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_1034548	197.601589056971	3.32530028764556	2.39486954224317e-05	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	30.6607713349351	5.97742477436258	24.1236287743922	2.44554266231642	2.49649078407112	3.79636160606226	0.247336761586594	1.01904208273903	0.795963441097753	0.580570309137759	1.36932986758356	1.25105478638296	22.2251685734131	0.119226139655435	0.290399964551101	0.0488962564586069	0.272063773175164	0.732724414695546	0.39922231600075	0.47902362721942	0.157711639005452	0.436034793217894	0.121965540280762	0.430472662325075	gene_1034548	35128.Thapsdraft1287	1.32e-53	182.0	COG0056@1|root,KOG1353@2759|Eukaryota,2XEPU@2836|Bacillariophyta	2836|Bacillariophyta	F	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	-	-	3.6.3.14	ko:K02111	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	3.A.2.1	-	-	-
gene_1036161	14.7502796308085	-2.72429552436995	0.0413667751925435	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0.15429575797595	0.117833799166054	0.0163691778332621	0.0119289874084134	0.0283313373359206	0	0	0	0	0.0836993886313176	0.00746519398215338	0.0502901203399073	0.0850867843143839	0.0414366548452008	0.185706706302889	0.0362532991811478	0	0	0	0	0	0.52674070975742	0.633004953606698	0.208152160977992	gene_1036161	35128.Thaps29359	6.35e-107	313.0	COG0712@1|root,KOG1662@2759|Eukaryota,2XC6R@2836|Bacillariophyta	2836|Bacillariophyta	C	ATP synthase delta (OSCP) subunit	-	-	-	ko:K02137	ko00190,ko01100,ko04714,ko05010,ko05012,ko05016,map00190,map01100,map04714,map05010,map05012,map05016	M00158	-	-	ko00000,ko00001,ko00002	3.A.2.1	-	-	-
gene_1057026	14.0528609634257	-2.79887778303694	0.0219347560355486	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0.273570243717666	0.0728798642240911	0.131615759341431	0.0295121769410459	0	0	0	0	0	0.0147908085607778	0	0	0.0789388952743273	0.256284512626386	0.00998774444554365	0.15695792535653	0.140356599744991	0.12292993845872	0.0171630981228646	0.0156905619705783	0	0.33095883846397	0.466085397990068	0.399098680904046	gene_1057026	55529.AAC35698	1.04e-109	335.0	28JJ8@1|root,2QRYE@2759|Eukaryota	2759|Eukaryota	C	chlorophyll binding	psaB	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0016168,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0046906,GO:0048037,GO:0055035,GO:0097159,GO:1901363	-	ko:K02690	ko00195,ko01100,map00195,map01100	M00163	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_1071103	52.6831631674451	-4.85422041469803	0.0035558992467112	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0.194231130628548	0.0247219931583681	0.144241343495451	0	0	0	0	0	0	0.240829165271959	0.0939736183635779	0.295429804977181	0.357030820456435	1.16841616862326	0.609839925557312	0	0	0	0	0	0	2.37864497541623	5.61583554359421	5.86940116978884	gene_1071103	55529.AAC35657	5.8e-56	174.0	2CHYC@1|root,2S3QA@2759|Eukaryota	2759|Eukaryota	C	photosynthetic electron transport chain	psbE	-	-	ko:K02707,ko:K02713	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_1073626	522.982535693859	2.10681190809577	0.0268971186193289	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	28.9469128346747	8.94582981002093	48.5416276375506	1.80519662310462	1.6564725840227	4.23083410097827	0.621152548984515	1.01055006538287	0.50411017936191	6.55238101674087	17.2763784960126	22.2672679026933	21.8069324694498	0.240687769429409	0.925649887006635	0.40176424056822	0.130080491549375	0.364575074629003	0.180273827069089	0.164806938412396	0.195926382302927	1.13744938299771	1.55506063857972	1.7658737256683	gene_1073626	159749.E7BWI0	6.4e-97	281.0	COG4451@1|root,2QTPB@2759|Eukaryota	2759|Eukaryota	C	ribulose-bisphosphate carboxylase activity	rbcS	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	4.1.1.39	ko:K01602	ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200	M00165,M00166,M00532	R00024,R03140	RC00172,RC00859	ko00000,ko00001,ko00002,ko01000	-	-	iRC1080.CRv4_Au5_s2_g9202_t1	-
gene_1074830	52.6926123236121	2.47844819559659	0.0395567939590805	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	17.8304177917007	9.36610369371319	1.8015449432493	6.92903754322986	8.83452044812107	1.43418105117907	0.573371583678014	0.346474308131269	0	15.1335327248576	1.18675255190575	3.58736191758005	8.75745598176712	0	0.493679939736872	0.110831514639509	0	0.121525024876334	0	0	0.0824953188643905	0.306727923505001	0.36860696618186	0	gene_1074830	981085.XP_010092001.1	2.79e-15	73.6	28IP8@1|root,2QR09@2759|Eukaryota,37PUB@33090|Viridiplantae,3GEYD@35493|Streptophyta,4JS8Z@91835|fabids	35493|Streptophyta	C	Photosystem Q(B) protein	psbA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	1.10.3.9	ko:K02703	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	-	-
gene_1075072	33.609040117009	1.8551909459363	0.0331618537677176	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	6.42875613421309	4.20273883692259	2.54763931368588	3.48109541645519	3.23814307868965	2.6010829064566	0.182436412988459	0.826813689858711	0	3.95452436156797	1.41601156761482	1.42679167176479	3.20719163148649	0.241839385551081	0.549779932888789	0.440807160498047	0	0	0.0674821812558086	0.0616924368388647	0.0656212763694015	0.650634989253032	0.549768912629194	0.303712925790616	gene_1075072	1173263.Syn7502_00179	2.21e-19	85.5	2DBBD@1|root,2Z87P@2|Bacteria,1G08A@1117|Cyanobacteria,1GYWQ@1129|Synechococcus	1117|Cyanobacteria	C	Photosystem II (PSII) is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1 D2 (PsbA PsbA) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors	psbA	-	1.10.3.9	ko:K02703	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	-	-
gene_107747	197.827818808035	1.76450975653947	0.0438210948000833	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	2.93826645076579	2.67893879078691	5.37229715654631	1.05247153819142	0.908549538689208	2.27791563450431	0.0860616217216512	0.180244309907471	0.0597360477237105	1.0512069832823	2.19079432518364	2.38108524938793	3.15899199620225	0.0829702375379927	0.15662068263582	0.277888958489412	0.177497746753534	0.0808390150858657	0.00434095902815143	0.083338905905133	0.00844250339255458	0.172646565130739	0.268775912840939	0.507964308632258	gene_107747	35128.Thapsdraft2073	4.61e-244	677.0	28JG1@1|root,2QRV6@2759|Eukaryota,2XEM0@2836|Bacillariophyta	2836|Bacillariophyta	P	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	psbB	-	-	ko:K02704	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
