Accession_ID	Chr	Start	End	Strand	Length	A_1_1	A_1_2	A_1_3	A_2_1	A_2_2	A_2_3	A_3_1	A_3_2	A_3_3	A_4_1	A_4_2	A_4_3	A_5_1	A_5_2	A_5_3	A_6_1	A_6_2	A_6_3	A_7_1	A_7_2	A_7_3	A_8_1	A_8_2	A_8_3
lcl|NC_010296.1_cds_WP_012263779.1_1	lcl|NC_010296.1_cds_WP_012263779.1_1	1	972	+	972	2822	3038	2084	2513	2294	1863	3674	5329	3293	2340	3215	2351	1896	1189	1671	810	795	869	3199	3911	3545	864	1065	988
lcl|NC_010296.1_cds_WP_012263780.1_2	lcl|NC_010296.1_cds_WP_012263780.1_2	1	546	+	546	1450	1939	1167	1217	1130	855	1905	3009	1631	1221	1394	1203	1135	574	703	467	471	444	1540	2009	1935	544	519	498
lcl|NC_010296.1_cds_WP_041803568.1_5	lcl|NC_010296.1_cds_WP_041803568.1_5	1	495	+	495	1407	2140	1658	1366	1139	1089	1665	2562	1264	1272	1340	1359	864	658	838	393	274	381	847	1232	1112	466	421	493
lcl|NC_010296.1_cds_WP_002761720.1_6	lcl|NC_010296.1_cds_WP_002761720.1_6	1	801	+	801	5104	3525	1822	3028	2556	1360	4828	6263	2704	2473	2092	1709	2768	1477	1607	1108	1058	824	3461	4698	4309	701	1329	628
lcl|NC_010296.1_cds_WP_012263786.1_8	lcl|NC_010296.1_cds_WP_012263786.1_8	1	702	+	702	822	1776	601	1262	923	469	1568	2128	1389	1586	937	642	446	313	475	257	277	392	702	986	1164	272	171	153
lcl|NC_010296.1_cds_WP_002797429.1_9	lcl|NC_010296.1_cds_WP_002797429.1_9	1	1794	+	1794	8764	10153	3684	6867	6142	2894	6464	8771	4162	6515	5218	3574	5778	2678	3090	1733	1473	1635	3293	4425	3870	1682	1925	933
lcl|NC_010296.1_cds_WP_002767156.1_10	lcl|NC_010296.1_cds_WP_002767156.1_10	1	243	+	243	194	176	60	95	61	46	63	92	51	91	117	78	116	28	11	13	5	11	11	25	19	7	13	6
lcl|NC_010296.1_cds_WP_002797431.1_11	lcl|NC_010296.1_cds_WP_002797431.1_11	1	447	+	447	275	188	91	107	130	52	103	122	66	120	162	84	137	9	15	12	3	24	25	48	21	12	16	0
lcl|NC_010296.1_cds_WP_002797432.1_12	lcl|NC_010296.1_cds_WP_002797432.1_12	1	267	+	267	19	28	18	16	3	5	3	12	8	3	10	15	14	5	3	0	12	22	2	2	13	3	17	12
lcl|NC_010296.1_cds_WP_002776225.1_13	lcl|NC_010296.1_cds_WP_002776225.1_13	1	213	+	213	57	58	19	40	60	17	79	119	65	75	29	32	64	35	12	16	32	55	54	80	66	56	44	10
lcl|NC_010296.1_cds_WP_012263789.1_15	lcl|NC_010296.1_cds_WP_012263789.1_15	1	654	+	654	4371	3984	2449	2879	2369	1707	5194	5566	2674	3301	3098	1918	3225	2097	3495	1116	1030	1361	3420	4916	4792	958	1629	1088
