Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_102855	19.7209099801036	-7.71563193966036	0.000137456009068949	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	0	0	0.0436693320920879	0	0	0.030484160838056	0.970136700310522	1.19008977685149	0.656917525039813	gene_102855	159749.K0SZ17	4.81e-70	211.0	COG2451@1|root,KOG0887@2759|Eukaryota,2XD0U@2836|Bacillariophyta	2836|Bacillariophyta	J	Ribosomal protein L35Ae	-	-	-	ko:K02917	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_103694	17.8659468292194	-8.05339940421544	2.9344229800524e-12	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	0.165833596262993	0.214491718381225	0.162018957245973	0	0	0	0.154257195781082	0.148797004379517	0.0331598679216916	gene_103694	35128.Thaps6770	0.0	954.0	COG0439@1|root,KOG0368@2759|Eukaryota,2XFP8@2836|Bacillariophyta	2836|Bacillariophyta	I	Acetyl-CoA carboxylase, central region	-	-	2.1.3.15,6.3.4.14,6.4.1.2	ko:K11262	ko00061,ko00254,ko00620,ko00640,ko01100,ko01110,ko01212,ko04152,ko04910,ko04922,map00061,map00254,map00620,map00640,map01100,map01110,map01212,map04152,map04910,map04922	M00082	R00742,R04385,R04386	RC00040,RC00253,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	-
gene_104207	16.2330547252484	-7.91618566184239	7.20433418596888e-07	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	0.0396009439104728	0.0214572233290527	0.0257012214916975	0	0	0	0.368748791361519	0.251431894628613	0.319117673374169	gene_104207	35128.Thaps262083	6.93e-156	465.0	COG0488@1|root,KOG1242@1|root,KOG0062@2759|Eukaryota,KOG1242@2759|Eukaryota,2XBIH@2836|Bacillariophyta	2836|Bacillariophyta	EJ	ATPase activity	-	-	-	ko:K03235	-	-	-	-	ko00000,ko03012	-	-	-	-
gene_104905	14.3544165737579	-7.74449958344187	0.00031196528314135	d__Eukaryota	NA	p__Bacillariophyta	c__Bacillariophyceae	o__Naviculales	f__Phaeodactylaceae	g__Phaeodactylum	s__Phaeodactylum	Phaeodactylum tricornutum CCAP 1055/1 (taxid 556484)	0	0	0	0	0.0414743645554844	0	0	0	0	0.436846370714491	0.555416189093311	0.593094281955089	gene_104905	35128.Thaps28425	4.56e-99	288.0	COG2238@1|root,KOG3411@2759|Eukaryota,2XBY8@2836|Bacillariophyta	2836|Bacillariophyta	J	Ribosomal protein S19e	-	-	-	ko:K02966	ko03010,map03010	M00177,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_105443	31.7302831323829	-8.88414968892925	9.13987013683036e-13	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	1.56618944367053	0.609264256779862	1.42478884213129	0	0	0	1.93002547773044	2.37974976324546	1.69274120134337	gene_105443	35128.Thapsdraft1545	1.76e-40	144.0	28ISP@1|root,2QR3X@2759|Eukaryota,2XE5P@2836|Bacillariophyta	2836|Bacillariophyta	P	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light- driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	-	-	-	ko:K02705	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_112580	244.543457368039	-11.8432698840132	2.99659270786792e-23	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	6.49455480131755	2.85216014712331	1.41290817636409	0	0	0	5.02157163025314	3.72819160973122	4.75844104676275	gene_112580	159749.K0RGG6	2.69e-172	484.0	2CNIT@1|root,2QWJF@2759|Eukaryota	2759|Eukaryota	C	photosynthetic electron transport in photosystem II	psbD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	1.10.3.9	ko:K02706	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194,ko01000	-	-	-	-
gene_114302	14.5484997245651	-3.21062086761706	0.0196507740399194	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0.0293109601190491	0	0.166093279313828	0	0.239545365359511	0.132783627664449	0.211197456613665	0.20066272862332	0.665202955916802	0.401733068810211	1.02956560789874	gene_114302	159749.K0RTY3	4.99e-55	172.0	2CHYC@1|root,2S3QA@2759|Eukaryota,2XGKP@2836|Bacillariophyta	2836|Bacillariophyta	C	This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	psbE	-	-	ko:K02707	ko00195,ko01100,map00195,map01100	M00161	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
gene_114894	14.684225276033	-7.77489065474783	1.10354833331703e-05	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	0.0467420977303942	0	0.202239119934669	0	0	0	0.730087506534917	0.452224110245374	0.84024930895998	gene_114894	159749.E7BWI6	4.34e-36	127.0	COG0711@1|root,2S8NX@2759|Eukaryota,2XFCS@2836|Bacillariophyta	2836|Bacillariophyta	C	ATP synthase subunit b', chloroplastic	atpG	-	-	ko:K02109	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	-	-
gene_116592	1968.07065689528	-3.61092123561045	0.0134063323286931	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0.210782322461878	0.767130292296096	0.0935580996929455	0.467420977303942	1.12703186141451	0.333694547892204	6.48803116771505	12.5705764852469	4.98353562159514	32.2782918754572	54.7473813465806	31.5817843712544	gene_116592	159749.E7BWI4	1.9e-135	387.0	COG0356@1|root,KOG4665@2759|Eukaryota,2XF1K@2836|Bacillariophyta	2836|Bacillariophyta	P	it plays a direct role in the translocation of protons across the membrane	atpI	-	-	ko:K02108	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194,ko03110	3.A.2.1	-	-	-
gene_118993	160.747194104495	-10.2639917953914	1.46381543108816e-15	d__Eukaryota	NA	p__Bacillariophyta	c__Coscinodiscophyceae	o__Thalassiosirales	f__Thalassiosiraceae	g__Thalassiosira	s__Thalassiosira	Thalassiosira pseudonana CCMP1335 (taxid 296543)	0	0	0	1.79033104562696	0.799406320305637	0.487725505516865	0	0	0.0200273847366298	1.9120717523562	1.92458167848613	2.85664550548182	gene_118993	159749.E7BWJ3	1.12e-253	711.0	28JJ8@1|root,2QRYE@2759|Eukaryota	2759|Eukaryota	C	chlorophyll binding	psaA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0016020,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035	-	ko:K02689,ko:K02690	ko00195,ko01100,map00195,map01100	M00163	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	-
