Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_100294	13.3680398782155	-7.6296492588186	7.24443856736699e-11	d__Bacteria	NA	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium	Flavobacterium magnum (taxid 2162713)	0	0	0	0.0616746813647297	0.0873998048411331	0.0985284764007839	0	0	0	0.148204119462995	0.0458996185107617	0.105868809597574	gene_100294	755732.Fluta_1621	0.0	903.0	COG0403@1|root,COG1003@1|root,COG0403@2|Bacteria,COG1003@2|Bacteria,4NEDE@976|Bacteroidetes,1HXCU@117743|Flavobacteriia,2PAJE@246874|Cryomorphaceae	976|Bacteroidetes	E	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor	gcvP	-	1.4.4.2	ko:K00281,ko:K00283	ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200	M00532	R01221,R03425	RC00022,RC00929,RC02834,RC02880	ko00000,ko00001,ko00002,ko01000	-	-	-	-
gene_100550	13.481112325808	-7.6365445306771	5.50733678846158e-10	d__Bacteria	NA	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Hoylesella	s__Hoylesella	Hoylesella buccalis (taxid 28127)	0	0	0	0.263193965681912	0.237680012260276	0.066427772470849	0	0	0	0.171289761148577	0.225459808809833	0.231124279414191	gene_100550	1122621.ATZA01000020_gene3984	6.32e-106	315.0	COG0052@1|root,COG0052@2|Bacteria,4NER0@976|Bacteroidetes,1IQSP@117747|Sphingobacteriia	976|Bacteroidetes	J	Belongs to the universal ribosomal protein uS2 family	rpsB	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02967	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_101301	12.4183805672976	-5.8178279992695	8.60387382826281e-07	d__Bacteria	NA	p__Bacteroidota	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Phnomibacter	s__Phnomibacter	Phnomibacter ginsenosidimutans (taxid 2676868)	0	0.0300400884802194	0.02839325413567	0.1985957784167	0.199840408318341	0.159577733440988	0	0	0	0.0852187866410829	0.428881696594649	0.211035338534467	gene_101301	925409.KI911562_gene73	2.95e-108	315.0	COG1825@1|root,COG1825@2|Bacteria,4NEN6@976|Bacteroidetes,1IST6@117747|Sphingobacteriia	976|Bacteroidetes	J	This is one of the proteins that binds to the 5S RNA in the ribosome where it forms part of the central protuberance	ctc	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008097,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02897	ko03010,map03010	M00178	-	-	ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_101346	10.2894590566459	-7.23269023586863	3.66808798332564e-10	d__Bacteria	NA	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	s__Flavobacterium	Flavobacterium aestivum (taxid 3003257)	0	0	0	0.169824737522028	0.125918251009362	0.116018053128666	0	0	0	0.0859133598237374	0.140522617329381	0.144053119015299	gene_101346	760192.Halhy_2469	6.68e-186	534.0	COG0441@1|root,COG0441@2|Bacteria,4NEFT@976|Bacteroidetes,1IPWX@117747|Sphingobacteriia	976|Bacteroidetes	J	Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)	thrS	GO:0003674,GO:0003824,GO:0004812,GO:0004829,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006435,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.3	ko:K01868	ko00970,map00970	M00359,M00360	R03663	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	-
gene_101776	13.9308192219783	-7.68693164023118	2.5962222798688e-10	d__Bacteria	NA	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	NA	NA	NA	Flavobacteriales (taxid 200644)	0	0	0	0.107089876490293	0.261113252905655	0.0579182456150931	0	0	0	0.096501273886522	0.145698965096661	0.116168513817682	gene_101776	1348583.ATLH01000001_gene3582	2.43e-187	534.0	COG1160@1|root,COG1160@2|Bacteria,4NE2J@976|Bacteroidetes,1HXD2@117743|Flavobacteriia,1F85U@104264|Cellulophaga	976|Bacteroidetes	S	GTPase that plays an essential role in the late steps of ribosome biogenesis	der	-	-	ko:K03977	-	-	-	-	ko00000,ko03009	-	-	-	-
gene_102255	25.9170911121295	-8.58992600570897	4.83398113818107e-10	d__Bacteria	NA	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	NA	Bacteroides (taxid 816)	0	0	0	0.289114583514221	0.248483649181198	0.103523801253271	0	0	0	0.131761354729674	0.735457130342236	0.247191742688974	gene_102255	452637.Oter_2675	9.45e-183	511.0	COG0115@1|root,COG0115@2|Bacteria,46S9W@74201|Verrucomicrobia,3K7I4@414999|Opitutae	414999|Opitutae	E	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family	ilvE	-	2.6.1.42	ko:K00826	ko00270,ko00280,ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00270,map00280,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00036,M00119,M00570	R01090,R01214,R02199,R10991	RC00006,RC00036	ko00000,ko00001,ko00002,ko01000,ko01007	-	-	-	-
gene_102499	57.5171553196489	-9.74997824157618	1.35391849249956e-12	d__Bacteria	NA	p__Bacteroidota	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Solitalea	s__Solitalea	Solitalea canadensis DSM 3403 (taxid 929556)	0	0	0	0.106806454585901	0.130840137042302	0.132608256817097	0	0	0	0.412880857491683	0.505437777941185	0.495108151724593	gene_102499	762903.Pedsa_2014	1.66e-295	824.0	COG0443@1|root,COG0443@2|Bacteria,4NERF@976|Bacteroidetes,1IPCI@117747|Sphingobacteriia	976|Bacteroidetes	O	Heat shock 70 kDa protein	dnaK	-	-	ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1	-	-	-
gene_102808	36.714052090415	-9.09724147410773	2.07761269222721e-16	d__Bacteria	NA	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Crocinitomicaceae	g__Fluviicola	s__Fluviicola	Fluviicola taffensis DSM 16823 (taxid 755732)	0	0	0	0.47229592001202	0.435989715741242	0.292647037353317	0	0	0	0.196160053667082	0.373732246529472	0.159031742842436	gene_102808	760192.Halhy_2489	8.98e-248	692.0	COG1233@1|root,COG1233@2|Bacteria,4NF7K@976|Bacteroidetes,1IQI6@117747|Sphingobacteriia	976|Bacteroidetes	Q	COG1233 Phytoene dehydrogenase and related	crtI	-	1.3.99.26,1.3.99.28,1.3.99.29,1.3.99.31	ko:K10027	ko00906,ko01100,ko01110,map00906,map01100,map01110	-	R04787,R04798,R04800,R09691,R09692	RC01214,RC02088,RC02605	ko00000,ko00001,ko01000	-	-	-	-
gene_103021	10.7765818935324	-7.31373250824209	6.28088680151894e-11	d__Bacteria	NA	p__Bacteroidota	c__Chitinophagia	o__Chitinophagales	f__Chitinophagaceae	g__Flavisolibacter	s__Flavisolibacter	Flavisolibacter ginsenosidimutans (taxid 661481)	0	0	0	0.974483986860243	0.860461816537201	0.624637281823535	0	0	0	0.303551475453174	0.611074984413844	0.313213841052738	gene_103021	1122605.KB893646_gene179	7.43e-45	145.0	COG0236@1|root,COG0236@2|Bacteria,4NS6C@976|Bacteroidetes,1ITA3@117747|Sphingobacteriia	976|Bacteroidetes	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP	-	-	ko:K02078	-	-	-	-	ko00000,ko00001	-	-	-	-
gene_103648	10.7794866780188	-7.30560293397436	1.74486268907755e-10	d__Bacteria	NA	p__Bacteroidota	NA	NA	NA	NA	NA	Bacteroidota (taxid 976)	0	0	0	0.1633538936307	0.32185834993579	0.282713436408673	0	0	0	0.142741467623814	0.215513052538811	0.276159525035338	gene_103648	700598.Niako_4683	1.42e-101	298.0	COG0087@1|root,COG0087@2|Bacteria,4NEAN@976|Bacteroidetes,1IPGZ@117747|Sphingobacteriia	976|Bacteroidetes	J	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	rplC	-	-	ko:K02906	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
